race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,extraversion,neuroticism,agreeableness,conscientiousness,openness
4,21,Not English (native),Male,Right,Test site,LK,3,3,4,3,4,3,4,3,3,4,4,2,4,3,4,4,4,3,2,3,2,5,4,3,4,2,4,4,4,3,2,4,4,3,3,3,3,4,4,4,4,3,3,3,4,3,4,2,4,4,3.4,3.3,3.5,3.4,3.4
9,20,English (native),Male,Right,Test site,IN,1,5,2,3,5,5,3,4,5,1,2,4,5,1,3,5,5,5,3,5,1,5,5,5,5,4,5,5,5,5,2,1,5,1,3,2,3,3,2,3,2,3,5,5,2,4,5,5,5,3,3.4,3.8,4.5,2.5,3.9
13,31,Not English (native),Female,Right,NA,IN,4,2,5,2,4,1,2,2,3,2,1,3,3,1,1,3,1,1,1,1,1,4,5,5,2,3,3,4,3,5,4,4,5,5,5,5,3,5,4,5,4,3,4,3,4,4,5,4,3,3,2.7,1.6,3.5,4.5,3.7
3,65,Not English (native),Female,Right,Test site,AU,1,1,2,1,4,1,2,1,1,1,1,2,1,1,2,3,1,1,2,1,4,1,3,4,4,1,2,3,3,2,4,5,5,2,2,1,4,5,2,5,3,4,4,2,4,5,4,3,4,3,1.5,1.5,2.7,3.5,3.6
4,26,Not English (native),Female,Right,Test site,IN,3,5,3,4,3,4,2,5,5,3,4,3,4,4,5,5,5,5,5,3,3,4,5,4,4,5,3,4,5,4,4,1,5,2,1,2,4,5,3,4,4,5,5,5,5,5,5,5,5,5,3.7,4.3,4.1,3.1,4.9
6,36,Not English (native),Female,Right,Test site,ZA,3,3,3,4,3,4,5,3,5,3,3,3,4,4,5,5,4,4,5,4,5,2,5,5,4,5,2,3,5,4,2,4,2,3,2,5,2,3,2,4,5,2,5,1,3,5,5,5,5,2,3.6,4.1,4,2.9,3.8
3,37,Not English (native),Female,Right,Google,GB,2,3,3,3,4,4,2,1,1,2,4,3,4,5,2,4,3,2,2,4,5,5,5,5,4,4,5,2,5,4,3,1,5,1,2,1,3,5,2,4,5,5,5,5,4,5,3,5,5,5,2.5,3.3,4.4,2.7,4.7
3,33,Not English (native),Male,Right,Test site,ZA,3,5,5,3,5,5,5,3,5,4,1,2,2,4,5,3,5,5,5,5,5,2,4,5,4,5,5,3,5,5,2,5,5,4,3,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,4.3,3.7,4.3,3.8,5
6,25,Not English (native),Female,Left,Test site,ZA,4,5,5,5,5,5,5,2,5,3,3,2,4,3,1,3,3,3,3,3,5,5,4,5,5,5,5,5,5,5,2,2,5,3,1,3,3,3,3,3,4,5,4,5,3,4,4,4,5,5,4.4,2.8,4.9,2.8,4.3
3,20,English (native),Female,Right,Test site,US,2,2,3,2,3,4,1,2,2,1,4,4,4,4,3,4,3,2,3,4,4,5,3,4,4,4,4,4,4,4,3,3,4,2,1,1,3,3,3,3,4,3,3,3,3,3,3,4,5,4,2.2,3.5,4,2.6,3.5
3,20,English (native),Female,Right,Test site,AU,1,4,2,5,5,4,1,3,4,1,5,5,5,1,5,5,5,5,5,5,3,4,3,4,3,3,4,3,4,1,3,5,3,3,1,4,5,3,1,3,5,4,4,5,4,5,5,5,5,3,3,4.6,3.2,3.1,4.5
3,24,English (native),Male,Right,Google,GB,1,2,3,2,4,5,3,2,4,2,1,1,1,2,1,1,2,2,1,1,5,4,5,5,3,3,2,3,4,2,4,3,4,5,3,5,4,5,3,5,5,5,3,5,5,4,5,5,4,4,2.8,1.3,3.6,4.1,4.5
3,37,Not English (native),Male,Right,Test site,GB,2,2,4,1,3,1,2,2,2,1,5,3,5,4,3,2,1,1,3,4,4,5,5,4,4,5,4,4,4,4,3,1,5,2,1,2,4,2,2,4,5,5,5,5,5,5,5,5,5,5,2,3.1,4.3,2.6,5
13,38,English (native),Male,Right,Test site,US,1,1,2,1,3,1,1,4,1,1,4,2,5,3,4,5,5,5,5,3,5,4,4,5,3,5,4,1,4,5,3,1,4,2,1,1,5,5,4,3,2,2,5,2,5,5,3,1,5,5,1.6,4.1,4,2.9,3.5
3,50,English (native),Female,Right,Test site,AU,5,5,5,5,5,5,5,5,5,3,3,1,3,3,1,3,5,3,3,3,5,5,5,5,5,5,5,5,5,5,3,5,1,5,1,3,3,3,3,5,5,5,1,5,1,1,5,3,5,1,4.8,2.8,5,3.2,3.2
3,17,Not English (native),Other,Right,Test site,SE,2,2,2,3,1,3,1,2,2,1,3,3,4,4,3,3,5,5,4,4,2,2,3,3,3,3,2,2,4,2,4,4,5,5,3,5,4,2,4,4,5,5,5,5,5,5,5,5,5,5,1.9,3.8,2.6,4,5
11,14,Not English (native),Female,Right,Test site,PH,1,2,3,1,3,5,1,1,1,1,3,4,4,2,4,3,4,4,3,5,5,3,5,5,5,5,4,4,5,2,3,4,4,2,2,3,5,3,2,3,4,4,5,4,3,4,4,3,4,4,1.9,3.6,4.3,3.1,3.9
3,21,English (native),Female,Left,Google,GB,4,5,5,5,5,5,4,2,2,4,3,1,2,2,2,3,2,3,2,1,5,5,3,5,5,5,5,5,4,5,2,1,4,3,4,4,3,3,4,2,4,4,4,4,3,2,4,3,4,2,4.1,2.1,4.7,3,3.4
13,29,Not English (native),Female,Right,Test site,IN,3,3,3,2,3,3,2,1,1,2,5,4,4,5,4,4,3,5,4,4,1,4,5,4,2,5,5,5,4,4,3,4,5,3,4,1,3,5,3,3,4,3,5,3,4,3,3,3,3,4,2.3,4.2,3.9,3.4,3.5
1,27,Not English (native),Male,Right,Test site,AT,1,5,3,2,4,5,1,2,2,2,1,2,5,4,1,1,3,2,1,3,4,4,5,4,4,4,4,4,3,4,5,2,5,4,3,2,4,4,3,4,5,5,5,5,5,5,5,5,5,5,2.7,2.3,4,3.6,5
3,22,Not English (native),Male,Right,Test site,HU,4,5,3,2,4,4,4,2,4,2,2,2,4,4,4,2,4,4,2,4,5,5,5,4,4,2,5,4,4,5,2,2,2,2,1,2,4,2,1,2,3,4,4,5,3,4,2,4,4,3,3.4,3.2,4.3,2,3.6
11,24,English (native),Female,Right,Test site,MY,3,5,4,3,4,5,2,3,4,2,5,3,4,4,4,3,4,3,4,2,2,4,3,5,5,5,4,2,4,2,2,4,2,2,3,3,5,3,3,3,2,3,4,3,3,4,3,2,4,4,3.5,3.6,3.6,3,3.2
3,34,English (native),Female,Right,Test site,US,2,2,4,1,2,2,2,1,2,1,2,2,5,4,4,5,2,1,3,3,5,4,5,5,5,5,5,4,4,4,3,3,4,4,3,4,3,5,5,3,5,4,5,2,3,5,4,5,4,4,1.9,3.1,4.6,3.7,4.1
13,24,Not English (native),Male,Right,Test site,IN,5,5,2,2,3,2,5,2,1,2,3,1,3,2,5,5,5,5,5,4,2,4,5,5,1,5,4,3,3,4,4,1,4,1,3,1,3,1,4,5,4,1,5,2,4,5,5,3,3,3,2.9,3.8,3.6,2.7,3.5
NA,14,English (native),Male,Right,NA,US,3,1,1,1,1,1,1,1,1,1,2,1,5,3,4,1,3,2,1,5,5,2,5,3,4,4,4,4,4,5,4,5,4,5,3,2,3,4,3,4,1,5,3,4,2,2,5,1,3,3,1.2,2.7,4,3.7,2.9
11,30,Not English (native),Male,Right,Test site,IN,5,1,3,3,2,2,3,3,1,3,5,3,3,3,4,4,3,3,4,3,4,5,4,4,3,4,2,3,2,3,5,3,3,3,3,3,2,3,3,3,1,3,4,3,4,2,3,3,4,3,2.6,3.5,3.4,3.1,3
13,19,English (native),Female,Right,Test site,GB,3,3,3,3,4,5,4,2,2,2,3,3,4,4,2,4,3,4,4,2,4,4,2,4,5,5,5,5,4,3,4,5,4,5,5,5,4,4,4,4,3,3,4,3,4,4,4,3,4,3,3.1,3.3,4.1,4.4,3.5
13,1992,English (native),Female,Right,NA,PK,1,5,5,1,5,5,5,5,5,1,5,5,5,1,1,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.8,4.2,4.2,4.2,5
3,17,English (native),Female,Left,Google,IE,4,4,5,5,5,5,4,4,5,5,3,3,4,5,4,4,5,3,4,2,5,5,2,5,5,5,4,4,5,3,2,1,2,2,2,3,1,2,3,2,3,4,3,5,4,4,4,4,1,4,4.6,3.7,4.3,2,3.6
3,29,English (native),Male,Right,Test site,GG,3,3,4,2,4,3,4,3,4,2,3,2,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,3,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,3,3.2,2.3,4,2.7,3.6
3,38,English (native),Female,Right,NA,US,2,3,4,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,1,3,2,2,1,4,3,3,3,4,4,5,3,4,5,4,4,4,4,3,3.9,3.7,2.6,4.1
11,20,Not English (native),Female,Right,Test site,GB,2,2,3,3,4,2,3,2,3,2,2,2,4,3,4,2,2,2,2,3,4,3,5,4,4,5,3,4,4,3,4,5,4,4,4,4,4,4,4,2,4,3,4,3,3,4,3,3,4,3,2.6,2.6,3.9,3.9,3.4
13,23,English (native),Female,Right,Google,US,3,3,3,3,3,3,3,3,3,3,2,3,5,3,3,3,3,3,4,3,2,4,5,5,4,5,4,5,4,5,3,3,5,5,3,3,5,3,3,3,1,3,5,3,5,5,3,2,5,4,3,3.2,4.3,3.6,3.6
13,23,Not English (native),Other,Right,Test site,RS,1,3,2,2,2,4,2,3,3,1,3,3,5,5,5,3,4,4,4,4,4,3,2,3,4,4,4,3,2,5,2,5,5,2,2,5,4,3,4,3,4,5,5,5,4,5,4,4,5,4,2.3,4,3.4,3.5,4.5
3,21,English (native),Male,Right,Test site,US,1,2,3,3,2,2,2,2,3,3,2,2,2,3,1,2,2,1,2,2,4,3,5,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,2,3,2,5,4,4,5,5,4,2,4,4,2.3,1.9,3.7,3.6,3.9
3,22,English (native),Female,Left,Facebook,US,3,4,3,4,4,5,3,3,4,2,4,3,5,2,2,3,4,2,4,2,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,4,5,5,5,4,2,3,2,3,4,4,4,2,4,4,3.5,3.1,4.7,4.7,3.2
1,22,English (native),Female,NA,NA,TR,4,5,5,5,5,5,4,5,5,5,3,2,4,2,2,3,3,3,2,1,5,5,5,4,4,4,5,5,5,5,3,4,3,4,3,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,4.8,2.5,4.7,3.6,3.7
13,20,English (native),Female,Right,Google,US,3,1,3,3,3,2,4,1,3,1,5,1,4,5,5,3,5,2,5,1,2,5,5,4,3,5,3,5,4,5,3,2,5,3,2,1,4,2,2,4,2,1,5,5,3,4,4,1,5,3,2.4,3.6,4.1,2.8,3.3
3,20,English (native),Female,Right,Test site,GB,1,3,4,3,2,3,3,4,4,2,2,2,3,3,4,2,3,2,2,1,5,5,5,5,5,5,5,4,5,2,4,5,5,5,4,4,5,4,4,2,3,4,5,5,4,5,4,1,4,4,2.9,2.4,4.6,4.2,3.9
13,23,Not English (native),Female,Right,Test site,PK,2,3,3,3,3,3,2,3,3,2,5,2,5,3,5,5,5,4,5,5,3,5,4,5,5,5,5,4,5,3,3,3,3,5,4,5,2,4,3,3,3,2,3,4,3,1,4,3,3,4,2.7,4.4,4.4,3.5,3
3,20,English (native),Male,Right,Test site,US,2,2,1,2,1,3,1,2,2,1,5,4,5,5,2,4,4,4,4,5,3,3,3,4,3,4,3,3,4,3,4,2,4,2,3,2,3,1,3,3,4,3,4,4,3,3,3,3,5,4,1.7,4.2,3.3,2.7,3.6
13,20,Not English (native),Male,Left,Test site,PK,3,1,1,3,3,2,1,2,2,1,4,3,4,2,4,2,2,3,5,3,3,3,5,4,4,1,4,3,5,5,4,4,3,3,3,5,3,5,4,3,4,1,5,4,4,3,1,3,5,4,1.9,3.2,3.7,3.7,3.4
3,64,English (native),Female,Right,Google,US,1,1,2,1,3,2,1,1,1,2,3,4,4,2,4,4,1,1,5,2,3,2,2,2,2,2,2,1,2,4,5,5,5,4,2,5,5,5,4,5,5,5,4,5,5,4,5,4,4,4,1.5,3,2.2,4.5,4.5
3,65,English (native),Male,Right,Google,US,3,4,4,5,5,5,5,2,5,5,1,2,1,5,1,1,2,1,1,1,4,4,5,4,5,5,5,4,5,5,4,2,3,5,4,4,3,5,4,4,3,4,4,5,5,5,4,2,4,5,4.3,1.6,4.6,3.8,4.1
3,34,English (native),Female,Right,Google,CA,3,3,4,3,2,3,3,2,4,1,2,2,2,1,3,3,2,2,3,2,5,4,3,4,4,4,4,3,3,3,4,2,3,4,2,3,3,5,4,3,4,4,4,4,3,4,4,2,3,4,2.8,2.2,3.7,3.3,3.6
4,24,Not English (native),Female,Right,Google,IN,3,1,5,3,4,3,2,1,1,2,3,2,4,2,2,3,3,1,2,1,3,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,3,4,3,5,4,5,4,1,5,3,2.5,2.3,4.7,4.9,3.7
1,25,English (native),Female,Right,Test site,US,3,3,4,3,3,3,2,3,3,2,5,4,5,4,4,3,4,3,3,4,5,4,4,4,4,4,4,4,5,3,4,2,4,3,3,3,4,3,3,4,4,3,4,5,3,4,4,5,4,4,2.9,3.9,4.1,3.3,4
3,25,Not English (native),Male,Right,NA,DE,1,2,4,2,3,3,2,4,4,2,3,3,3,4,2,3,2,2,2,4,4,3,5,3,3,4,3,4,3,3,4,5,4,4,3,4,4,4,3,5,3,4,3,4,3,3,4,3,5,3,2.7,2.8,3.5,4,3.5
13,22,Not English (native),Female,Right,Test site,IN,1,5,3,2,5,5,2,4,5,4,4,2,4,3,4,3,4,4,4,2,1,4,4,5,5,5,3,3,5,4,3,2,3,3,3,2,2,4,2,4,4,3,5,3,5,5,5,3,3,5,3.6,3.4,3.9,2.8,4.1
13,24,English (native),Female,Both,NA,US,4,5,3,4,4,3,4,5,2,3,2,3,3,5,3,2,3,2,2,1,2,5,4,5,4,5,4,5,5,4,3,3,4,4,3,3,4,3,3,4,1,3,4,3,4,5,3,3,2,4,3.7,2.6,4.3,3.4,3.2
4,19,Not English (native),Male,Right,Test site,IN,1,4,5,1,3,2,2,4,3,1,3,1,5,3,4,3,5,4,4,3,2,4,4,5,4,4,2,4,4,4,2,1,4,3,3,1,4,1,1,4,2,4,5,5,5,5,5,4,4,4,2.6,3.5,3.7,2.4,4.3
3,26,Not English (native),Male,Right,Test site,RU,4,5,4,4,2,5,2,4,5,3,4,5,5,5,5,5,4,4,5,5,5,4,3,3,4,4,4,3,4,3,2,1,4,1,1,1,3,3,2,2,4,4,5,5,5,5,4,5,5,4,3.8,4.7,3.7,2,4.6
4,36,Not English (native),Male,Right,Google,IN,3,4,4,4,4,4,3,4,4,4,2,2,3,4,3,2,2,2,3,4,4,4,4,4,4,2,4,2,4,4,2,4,4,4,1,4,4,2,2,3,5,5,4,4,4,4,4,4,2,4,3.8,2.7,3.6,3,4
3,61,English (native),Female,Right,Google,US,4,4,4,4,4,4,5,4,4,4,3,2,4,2,3,3,2,3,1,3,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,2,4,5,4,4,4,4,5,4,4,5,4,1,5,5,4.1,2.6,4.9,3.9,4.1
11,18,Not English (native),Female,Right,NA,US,2,4,4,3,4,4,4,3,2,2,5,3,5,3,4,3,5,5,4,3,4,5,3,4,4,4,4,2,4,4,4,4,4,4,3,2,3,3,3,3,4,2,5,4,3,5,4,2,3,4,3.2,4,3.8,3.3,3.6
3,25,English (native),Female,Right,Test site,GB,3,5,5,4,5,5,5,3,4,3,4,3,4,4,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,4,2,3,4,3,3,3,4,5,4,3,4,4,5,3,4,1,4,3,5,4,4.2,2.8,4.9,3.4,3.7
3,30,Not English (native),Female,Right,Test site,NL,1,2,1,2,1,3,1,2,1,1,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,3,4,3,5,1,3,4,3,2,3,2,2,3,3,4,5,5,5,5,5,5,5,5,5,4,1.5,4.9,3.5,2.9,4.9
3,25,English (native),Female,Right,NA,US,3,4,2,2,5,5,5,1,1,3,5,3,5,5,2,2,3,3,2,4,5,4,5,4,5,1,4,5,5,5,4,5,4,4,1,5,4,3,1,5,5,5,4,5,5,5,3,3,5,4,3.1,3.4,4.3,3.6,4.4
3,52,English (native),Female,Right,Google,CA,3,4,4,4,4,4,4,3,4,3,4,2,5,3,3,1,1,1,2,3,5,2,5,4,4,5,4,4,4,5,4,5,4,5,5,5,4,5,4,5,3,2,4,4,4,5,4,2,2,4,3.7,2.5,4.2,4.6,3.4
3,30,English (native),Female,Right,Test site,US,3,3,4,3,5,4,3,3,3,3,3,2,3,3,2,2,2,2,2,2,5,5,4,5,5,4,5,5,5,5,4,4,5,4,3,4,3,4,3,3,5,3,3,4,4,4,4,4,5,4,3.4,2.3,4.8,3.7,4
8,57,English (native),Female,Right,Test site,US,5,5,1,1,5,5,5,1,5,1,5,5,5,5,1,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,1,5,5,3.4,3.8,4.6,4.6,3.8
3,26,English (native),Female,Right,NA,US,3,3,4,4,5,5,4,2,3,5,3,3,4,1,4,3,1,1,3,1,5,4,5,5,5,5,5,5,4,4,4,4,4,5,2,3,5,3,5,4,3,4,3,3,4,5,3,3,3,3,3.8,2.4,4.7,3.9,3.4
4,27,English (native),Male,Right,Test site,IN,1,5,4,1,2,2,1,2,3,1,3,1,4,4,3,3,5,5,3,4,5,4,5,5,4,5,4,2,5,4,3,5,3,4,3,5,3,4,3,3,4,5,4,2,3,5,5,1,5,4,2.2,3.5,4.3,3.6,3.8
9,21,English (native),Female,Right,Test site,AU,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,5,4,3,5,5,5,4,3,4,3,4,2,4,4,4,4,5,3,3,3,4,5,4,5,4,4,4,3,4,4,4.2,3.9,4.1,3.6,4.1
3,27,Not English (native),Male,Right,Test site,GB,1,2,1,3,2,4,1,3,2,2,4,3,4,4,2,4,3,3,2,4,4,4,3,4,4,3,4,3,4,2,2,4,4,4,2,4,4,4,3,3,4,5,4,5,4,3,4,3,4,4,2.1,3.3,3.5,3.4,4
11,25,English (native),Male,Right,Google,SG,3,5,5,1,4,4,4,1,2,4,2,2,2,4,2,2,2,2,3,2,5,5,4,4,5,3,4,5,4,5,2,5,4,4,2,4,5,3,4,4,3,4,4,4,3,4,5,2,4,3,3.3,2.3,4.4,3.7,3.6
3,35,Not English (native),Male,Left,Google,ES,5,5,5,5,5,5,5,3,5,5,1,5,5,3,1,1,1,1,2,5,3,4,5,5,3,1,4,2,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4.8,2.5,3.6,4.8,4.9
3,59,English (native),Male,Left,Test site,US,3,1,5,4,4,2,4,5,4,2,3,1,2,1,2,1,2,1,5,1,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,1,4,1,5,5,5,5,4,5,3.4,1.9,4.9,4.7,4
13,39,English (native),Male,Right,Google,US,4,5,3,2,4,4,4,2,2,2,2,3,4,3,2,3,3,2,3,3,4,4,5,2,4,4,4,3,2,5,4,2,4,5,4,3,4,5,4,4,5,3,3,3,4,4,4,2,5,4,3.2,2.8,3.7,3.9,3.7
4,27,Not English (native),Female,Right,Test site,PK,3,3,5,3,4,4,4,4,3,3,3,3,3,3,2,2,4,2,2,3,2,3,5,4,4,3,4,3,3,3,3,4,4,3,3,4,3,4,3,4,3,4,3,5,3,4,4,3,3,4,3.6,2.7,3.4,3.5,3.6
3,20,English (native),Male,Right,Test site,GB,3,2,2,2,3,4,4,3,3,1,5,5,5,4,5,4,5,4,4,4,4,2,1,2,2,2,2,2,3,1,2,2,4,3,1,4,3,2,2,3,5,4,5,5,5,5,4,5,4,5,2.7,4.5,2.1,2.6,4.7
2,60,English (native),Female,Both,Test site,US,4,5,5,4,5,4,5,2,4,4,3,4,1,2,2,1,1,1,1,1,5,5,4,5,4,5,5,5,5,4,4,3,1,3,4,3,3,5,2,1,5,5,5,5,5,5,5,5,5,5,4.2,1.7,4.7,2.9,5
13,50,English (native),Female,Right,Test site,GB,4,5,5,5,5,5,5,3,4,5,3,3,4,4,5,1,3,3,3,2,2,5,5,5,5,4,5,5,5,5,3,3,4,5,2,3,5,5,5,3,3,4,5,5,3,5,3,1,4,5,4.6,3.1,4.6,3.8,3.8
NA,22,English (native),Female,Right,Google,US,4,4,2,3,3,3,1,3,3,2,3,3,4,3,4,5,5,4,4,3,5,2,5,5,3,5,1,4,3,5,4,4,5,4,3,5,4,3,4,4,4,4,4,3,5,5,4,3,5,3,2.8,3.8,3.8,4,4
3,37,English (native),Male,Right,Test site,US,2,4,3,3,1,5,3,5,4,3,3,3,4,3,2,1,3,2,2,3,5,4,5,5,5,4,5,3,4,3,4,2,4,5,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,3.3,2.6,4.3,3.4,5
1,18,Not English (native),Female,Right,Test site,US,2,2,3,2,3,2,1,2,4,1,3,3,4,3,2,2,2,3,2,3,2,4,4,4,4,4,4,4,4,3,3,4,5,3,3,2,4,4,4,3,3,4,4,5,4,5,4,3,4,4,2.2,2.7,3.7,3.5,4
3,16,English (native),Female,Right,Test site,AE,2,2,3,2,3,3,2,1,1,1,3,2,4,4,3,4,3,4,3,3,5,3,3,4,4,4,4,4,3,4,3,2,4,2,2,2,3,2,2,2,1,4,3,3,3,4,4,1,4,4,2,3.3,3.8,2.4,3.1
4,22,Not English (native),Female,Right,Test site,IN,4,4,3,2,2,4,2,1,1,1,5,3,5,4,5,4,5,5,4,4,5,3,4,5,3,5,3,5,5,5,1,3,4,2,1,2,4,1,2,4,2,4,5,4,4,5,5,2,5,5,2.4,4.4,4.3,2.4,4.1
1,17,English (native),Female,Right,Test site,US,3,5,4,4,5,4,4,3,4,3,5,4,5,4,3,5,4,3,5,3,5,5,4,4,4,5,5,5,4,3,3,2,3,3,1,1,3,3,3,3,3,3,5,5,3,5,3,3,5,5,3.9,4.1,4.4,2.5,4
11,22,Not English (native),Male,Right,Test site,IN,1,1,3,1,5,4,3,1,3,2,1,1,5,3,1,4,3,2,3,2,3,3,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,3,5,4,5,4,5,5,2,5,5,2.4,2.5,4.5,4.8,4.3
13,22,English (native),Male,Right,Test site,PK,1,5,5,5,5,1,5,5,1,4,5,1,5,2,5,5,4,4,4,4,5,5,2,2,5,5,5,5,1,4,5,5,5,2,4,4,5,2,4,4,5,5,2,5,5,5,5,5,5,5,3.7,3.9,3.9,4,4.7
13,20,English (native),Male,Right,Test site,US,3,2,4,2,3,3,2,4,5,2,3,3,5,4,2,1,3,1,3,2,5,5,5,4,5,4,3,5,3,4,4,2,4,3,3,3,4,5,3,4,3,4,5,5,3,4,5,2,5,3,3,2.7,4.3,3.5,3.9
4,15,Not English (native),Male,Both,Test site,US,1,1,1,5,1,1,1,1,1,1,1,5,1,1,5,1,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,1,1,4,5,5,5,5,5,1,5,1.4,3,4.6,2.6,3.7
3,25,Not English (native),Female,Right,Google,SE,1,3,1,1,2,2,1,4,5,2,2,2,4,4,5,1,1,1,3,4,4,2,5,3,3,4,1,1,1,5,3,2,4,1,1,1,3,1,2,2,4,3,5,5,4,5,5,4,4,2,2.2,2.7,2.9,2,4.1
3,22,Not English (native),Female,Right,NA,DK,4,4,4,4,5,4,4,3,4,2,2,1,4,2,3,2,3,2,3,2,4,4,5,2,3,5,4,4,3,4,3,5,4,4,2,5,4,3,4,5,5,4,4,4,3,4,4,4,5,3,3.8,2.4,3.8,3.9,4
3,16,English (native),Male,Right,Test site,US,4,3,5,4,4,3,4,3,4,3,5,4,5,5,2,5,5,4,3,4,5,5,3,4,5,5,4,5,5,4,2,2,4,3,2,1,1,3,2,2,4,4,3,4,3,4,5,4,3,5,3.7,4.2,4.5,2.2,3.9
8,23,Not English (native),Male,Right,Google,IN,2,2,3,2,4,4,2,2,3,2,2,4,5,2,4,5,4,3,5,4,2,3,3,3,2,4,2,2,4,3,1,3,4,3,2,2,2,3,2,2,1,2,3,4,1,4,2,2,5,1,2.6,3.8,2.8,2.4,2.5
3,27,English (native),Female,Right,.edu,US,3,4,2,2,2,4,2,2,2,1,4,4,4,4,4,4,4,2,4,4,4,4,5,5,4,5,4,4,4,4,2,2,1,2,1,2,2,3,2,2,4,2,4,3,3,4,1,2,2,2,2.4,3.8,4.3,1.9,2.7
13,41,English (native),Female,Left,NA,US,3,5,3,3,3,4,3,3,3,2,4,3,5,3,3,3,3,3,3,3,4,4,4,3,4,3,4,4,3,4,3,3,5,5,3,5,4,4,2,4,4,5,3,4,5,3,4,4,4,4,3.2,3.3,3.7,3.8,4
NA,23,English (native),Female,Right,NA,US,5,5,5,5,5,5,5,2,4,1,3,2,5,2,4,3,2,2,3,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,4,5,4,3,2,4,4,5,3,5,5,5,3,4,5,4.2,2.7,5,3.8,4.3
4,33,Not English (native),Female,Right,Test site,IN,2,5,3,2,5,5,1,5,3,4,5,3,5,4,5,5,5,3,5,3,5,3,3,5,5,5,2,5,4,3,3,1,5,3,3,3,5,3,3,5,4,5,4,5,5,5,4,2,5,5,3.5,4.3,4,3.4,4.4
3,51,English (native),Male,Right,Test site,US,2,4,5,4,3,5,4,2,2,2,2,3,3,3,1,3,3,1,3,2,5,5,5,4,5,4,5,4,4,3,3,3,3,4,2,3,3,4,3,3,4,3,5,3,3,5,4,4,4,4,3.3,2.4,4.4,3.1,3.9
1,24,English (native),Female,Right,Google,US,5,5,5,4,5,5,5,3,4,4,2,2,3,2,4,2,2,2,1,1,5,5,4,5,4,5,5,4,4,4,3,2,4,4,1,3,3,3,3,3,4,2,4,3,4,5,4,4,4,3,4.5,2.1,4.5,2.9,3.7
11,24,Not English (native),Female,Right,Test site,NL,3,2,4,1,1,1,4,4,5,1,3,2,4,2,2,1,3,2,3,1,4,4,5,3,2,3,1,3,4,5,4,1,4,5,4,4,5,4,3,5,3,2,5,3,4,5,4,2,3,4,2.6,2.3,3.4,3.9,3.5
13,24,Not English (native),Male,Right,Google,PK,1,2,1,2,1,1,1,2,3,2,1,5,4,2,3,5,4,4,3,3,3,3,3,5,3,5,1,3,5,4,3,3,4,4,4,2,5,5,5,1,3,2,3,2,2,2,5,4,2,3,1.6,3.4,3.5,3.6,2.8
3,20,Not English (native),Male,Right,Facebook,HK,2,4,4,3,5,3,3,2,4,3,1,1,2,5,2,1,2,2,1,1,2,4,4,4,3,2,3,4,4,5,3,1,4,1,1,1,1,4,1,2,3,5,4,5,5,5,5,3,5,4,3.3,1.8,3.5,1.9,4.4
3,19,English (native),Female,Right,Test site,US,3,4,4,4,4,4,4,4,5,3,3,3,3,4,1,2,4,3,2,3,2,5,3,1,2,2,4,4,2,4,3,1,5,5,2,2,3,4,4,4,4,5,5,5,5,4,5,4,5,5,3.9,2.8,2.9,3.3,4.7
3,30,English (native),Male,Right,Test site,US,1,2,1,1,1,3,1,1,1,1,3,3,5,5,2,3,3,3,3,5,4,2,3,5,3,3,1,3,5,3,3,3,5,3,1,1,3,3,1,5,5,5,5,5,5,5,5,5,5,5,1.3,3.5,3.2,2.8,5
